date,open,high,low,close,volume
2021-01-04T05:00:00+00:00,4.75,4.775000095367432,4.287499904632568,4.3125,40090000
2021-01-05T05:00:00+00:00,4.337500095367432,4.519999980926514,4.307499885559082,4.34250020980835,19846000
2021-01-06T05:00:00+00:00,4.335000038146973,4.744999885559082,4.332499980926514,4.590000152587891,24224800
2021-01-07T05:00:00+00:00,4.617499828338623,4.862500190734863,4.505000114440918,4.519999980926514,24517200
2021-01-08T05:00:00+00:00,4.545000076293945,4.574999809265137,4.269999980926514,4.422500133514404,25928000
2021-01-11T05:00:00+00:00,4.852499961853027,5.162499904632568,4.752500057220459,4.985000133514404,59632000
2021-01-12T05:00:00+00:00,4.989999771118164,5.099999904632568,4.829999923706055,4.987500190734863,28242800
2021-01-13T05:00:00+00:00,5.105000019073486,9.662500381469727,5.007500171661377,7.849999904632568,578006800
2021-01-14T05:00:00+00:00,9.522500038146973,10.765000343322754,8.262499809265137,9.977499961853027,374869600
2021-01-15T05:00:00+00:00,9.6225004196167,10.1875,8.5024995803833,8.875,187465600
2021-01-19T05:00:00+00:00,10.387499809265137,11.380000114440918,9.15999984741211,9.84000015258789,298887600
2021-01-20T05:00:00+00:00,9.342499732971191,10.297499656677246,9.015000343322754,9.779999732971191,133887200
2021-01-21T05:00:00+00:00,9.807499885559082,11.1875,9.25,10.757499694824219,224867600
2021-01-22T05:00:00+00:00,10.647500038146973,19.190000534057617,10.579999923706055,16.252500534057617,788631600
2021-01-25T05:00:00+00:00,24.1825008392334,39.79499816894531,15.282500267028809,19.197500228881836,711496000
2021-01-26T05:00:00+00:00,22.139999389648438,37.5,20.049999237060547,36.994998931884766,714352000
2021-01-27T05:00:00+00:00,88.7074966430664,95.0,62.25,86.87750244140625,373586800
2021-01-28T05:00:00+00:00,66.25,120.75,28.0625,48.400001525878906,235263200
2021-01-29T05:00:00+00:00,94.92749786376953,103.49500274658203,62.5,81.25,202264400
2021-02-01T05:00:00+00:00,79.13999938964844,80.5,53.0,56.25,149528800
2021-02-02T05:00:00+00:00,35.189998626708984,39.5,18.55500030517578,22.5,312732400
2021-02-03T05:00:00+00:00,28.002500534057617,28.350000381469727,21.3125,23.102500915527344,170794000
2021-02-04T05:00:00+00:00,22.797500610351562,22.875,13.332500457763672,13.375,249709200
2021-02-05T05:00:00+00:00,13.510000228881836,23.75,12.772500038146973,15.942500114440918,325380000
2021-02-08T05:00:00+00:00,18.102500915527344,18.165000915527344,14.505000114440918,15.0,102749200
2021-02-09T05:00:00+00:00,14.15250015258789,14.25,11.630000114440918,12.577500343322754,107372400
2021-02-10T05:00:00+00:00,12.692500114440918,15.707500457763672,11.637499809265137,12.800000190734863,145820000
2021-02-11T05:00:00+00:00,12.5024995803833,13.829999923706055,12.055000305175781,12.774999618530273,52226800
